model,displ,cyl,trans,drive,fuel,cert_region,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway,file_name
AUDI RS4,4.2,8,Man-6,4WD,Gasoline,CA,small car,6.0,13.0,20.0,15.0,3,no,08
AUDI RS4 Cabriolet,4.2,8,Man-6,4WD,Gasoline,FA,small car,6.0,12.0,19.0,14.0,2,no,08
AUDI RS4 Cabriolet,4.2,8,Man-6,4WD,Gasoline,CA,small car,6.0,12.0,19.0,14.0,2,no,08
AUDI S4,4.2,8,Man-6,4WD,Gasoline,FA,small car,6.0,13.0,20.0,15.0,3,no,08
AUDI S4,4.2,8,Auto-S6,4WD,Gasoline,FA,small car,6.0,14.0,21.0,16.0,4,no,08
AUDI S4,4.2,8,Man-6,4WD,Gasoline,CA,small car,6.0,13.0,20.0,15.0,3,no,08
AUDI S4,4.2,8,Auto-S6,4WD,Gasoline,CA,small car,6.0,14.0,21.0,16.0,4,no,08
AUDI S4 Avant,4.2,8,Man-6,4WD,Gasoline,FA,station wagon,6.0,13.0,20.0,15.0,3,no,08
AUDI S4 Avant,4.2,8,Auto-S6,4WD,Gasoline,FA,station wagon,6.0,14.0,21.0,16.0,4,no,08
AUDI S4 Avant,4.2,8,Man-6,4WD,Gasoline,CA,station wagon,6.0,13.0,20.0,15.0,3,no,08
AUDI S4 Avant,4.2,8,Auto-S6,4WD,Gasoline,CA,station wagon,6.0,14.0,21.0,16.0,4,no,08
AUDI S4 Cabriolet,4.2,8,Man-6,4WD,Gasoline,FA,small car,6.0,13.0,19.0,15.0,3,no,08
AUDI S4 Cabriolet,4.2,8,Auto-S6,4WD,Gasoline,FA,small car,6.0,14.0,21.0,16.0,4,no,08
AUDI S4 Cabriolet,4.2,8,Man-6,4WD,Gasoline,CA,small car,6.0,13.0,19.0,15.0,3,no,08
AUDI S4 Cabriolet,4.2,8,Auto-S6,4WD,Gasoline,CA,small car,6.0,14.0,21.0,16.0,4,no,08
AUDI S5,4.2,8,Man-6,4WD,Gasoline,FA,small car,6.0,14.0,21.0,16.0,4,no,08
AUDI S5,4.2,8,Man-6,4WD,Gasoline,CA,small car,6.0,14.0,21.0,16.0,4,no,08
AUDI S6,5.2,10,Auto-S6,4WD,Gasoline,FA,midsize car,6.0,14.0,19.0,16.0,4,no,08
AUDI S6,5.2,10,Auto-S6,4WD,Gasoline,CA,midsize car,6.0,14.0,19.0,16.0,4,no,08
AUDI S8,5.2,10,Auto-S6,4WD,Gasoline,FA,midsize car,6.0,13.0,19.0,15.0,3,no,08
AUDI S8,5.2,10,Auto-S6,4WD,Gasoline,CA,midsize car,6.0,13.0,19.0,15.0,3,no,08
AUDI TT Coupe,2.0,4,Auto-S6,2WD,Gasoline,CA,small car,7.0,23.0,31.0,26.0,8,yes,08
AUDI TT Coupe,2.0,4,Auto-S6,2WD,Gasoline,FA,small car,6.0,23.0,31.0,26.0,8,yes,08
AUDI TT Coupe,3.2,6,Man-6,4WD,Gasoline,FA,small car,6.0,17.0,24.0,19.0,5,no,08
AUDI TT Coupe,3.2,6,Auto-S6,4WD,Gasoline,FA,small car,6.0,18.0,24.0,20.0,6,no,08
AUDI TT Coupe,3.2,6,Man-6,4WD,Gasoline,CA,small car,6.0,17.0,24.0,19.0,5,no,08
AUDI TT Coupe,3.2,6,Auto-S6,4WD,Gasoline,CA,small car,6.0,18.0,24.0,20.0,6,no,08
AUDI TT Roadster,2.0,4,Auto-S6,2WD,Gasoline,CA,small car,7.0,22.0,29.0,25.0,7,yes,08
AUDI TT Roadster,2.0,4,Auto-S6,2WD,Gasoline,FA,small car,6.0,22.0,29.0,25.0,7,yes,08
AUDI TT Roadster,3.2,6,Man-6,4WD,Gasoline,FA,small car,6.0,17.0,24.0,19.0,5,no,08
AUDI TT Roadster,3.2,6,Auto-S6,4WD,Gasoline,FA,small car,6.0,18.0,24.0,20.0,6,no,08
AUDI TT Roadster,3.2,6,Man-6,4WD,Gasoline,CA,small car,6.0,17.0,24.0,19.0,5,no,08
AUDI TT Roadster,3.2,6,Auto-S6,4WD,Gasoline,CA,small car,6.0,18.0,24.0,20.0,6,no,08
BENTLEY Arnage,6.7,8,Auto-S6,2WD,Gasoline,FA,large car,6.0,9.0,15.0,11.0,0,no,08
BENTLEY Arnage,6.7,8,Auto-S6,2WD,Gasoline,FA,midsize car,6.0,10.0,15.0,11.0,0,no,08
BENTLEY Arnage,6.7,8,Auto-S6,2WD,Gasoline,CA,large car,6.0,9.0,15.0,11.0,0,no,08
BENTLEY Arnage,6.7,8,Auto-S6,2WD,Gasoline,CA,midsize car,6.0,10.0,15.0,11.0,0,no,08
BENTLEY Azure,6.7,8,Auto-S6,2WD,Gasoline,FA,small car,6.0,9.0,15.0,11.0,0,no,08
BENTLEY Azure,6.7,8,Auto-S6,2WD,Gasoline,CA,small car,6.0,9.0,15.0,11.0,0,no,08
BENTLEY Continental Flying Spur,6.0,12,Auto-S6,4WD,Gasoline,FA,midsize car,6.0,10.0,17.0,12.0,0,no,08
BENTLEY Continental Flying Spur,6.0,12,Auto-S6,4WD,Gasoline,CA,midsize car,6.0,10.0,17.0,12.0,0,no,08
BENTLEY Continental GT,6.0,12,Auto-S6,4WD,Gasoline,FA,small car,6.0,10.0,17.0,13.0,1,no,08
BENTLEY Continental GT,6.0,12,Auto-S6,4WD,Gasoline,CA,small car,6.0,10.0,17.0,13.0,1,no,08
BENTLEY Continental GTC,6.0,12,Auto-S6,4WD,Gasoline,FA,small car,6.0,10.0,17.0,12.0,0,no,08
BENTLEY Continental GTC,6.0,12,Auto-S6,4WD,Gasoline,CA,small car,6.0,10.0,17.0,12.0,0,no,08
BMW 328ci,3.0,6,Man-6,2WD,Gasoline,CA,small car,9.5,20.0,30.0,24.0,7,yes,08
BMW 328ci,3.0,6,Auto-S6,2WD,Gasoline,CA,small car,9.5,23.0,31.0,25.0,7,yes,08
